City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,blackmans bay,-43.0167,147.3167,55.53,74,81,9.51,AU,1697339042
139,mulanje,-16.0316,35.5,70.41,79,5,2.59,MW,1697339042
140,lebu,-37.6167,-73.65,49.17,78,15,16.4,CL,1697338928
141,arraial do cabo,-22.9661,-42.0278,69.22,85,100,8.08,BR,1697339043
142,isla mujeres,21.2311,-86.731,82.17,87,89,7.7,MX,1697338744
143,barcelos,41.5388,-8.6151,65.84,89,100,2.51,PT,1697339043
144,manoharpur,27.3,75.95,81.09,46,15,12.75,IN,1697339043
145,juneau,58.3019,-134.4197,51.22,100,88,2.35,US,1697338989
146,sergeyevka,53.88,67.4158,42.55,70,98,10.11,KZ,1697339043
147,rabo de peixe,37.8,-25.5833,71.11,99,75,6.91,PT,1697339043
148,kibiti,-7.7218,38.9375,75.38,90,99,0.98,TZ,1697339043
149,northam,51.0333,-4.2167,50.61,74,32,7.49,GB,1697339043
150,whakatane,-37.9585,176.9854,68.5,79,82,10.0,NZ,1697339044
151,joshimath,30.5667,79.5667,63.3,44,3,3.36,IN,1697339044
152,jinchang,38.4953,102.1739,58.23,26,0,3.0,CN,1697339044
153,hammerfest,70.6634,23.6821,36.05,87,75,8.05,NO,1697339044
154,yuzhno-kurilsk,44.0306,145.8556,57.38,69,36,7.67,RU,1697339044
155,avarua,-21.2078,-159.775,73.45,78,100,6.91,CK,1697339044
156,cururupu,-1.8283,-44.8683,78.82,80,22,6.58,BR,1697339044
157,geneseo,42.7959,-77.8169,50.32,84,100,9.31,US,1697338807
158,pitimbu,-7.4706,-34.8086,79.39,75,99,12.41,BR,1697339045
159,san antonio de pale,-1.4014,5.6325,78.37,83,77,15.79,GQ,1697339045
160,tura,25.5198,90.2201,78.53,65,0,1.01,IN,1697339045
161,shibganj,24.6829,88.1598,81.54,59,0,2.35,BD,1697339045
162,shingu,33.7333,135.9833,74.57,51,2,11.45,JP,1697339045
163,egbe,8.2167,5.5167,72.12,94,90,4.29,NG,1697339045
164,palmas,-10.2128,-48.3603,80.47,78,40,3.44,BR,1697339046
165,hailey,43.5196,-114.3153,53.31,70,0,6.91,US,1697339046
166,jiazi,22.8779,116.067,79.65,70,94,12.19,CN,1697339046
167,chardara,41.2547,67.9692,48.0,48,0,7.74,KZ,1697339046
168,whitehorse,60.7161,-135.0538,48.97,67,40,19.57,CA,1697338995
169,along,28.1667,94.7667,71.19,77,95,1.01,IN,1697339046
170,trat,12.5,102.5,86.2,67,18,6.17,TH,1697339047
171,el nido,11.1858,119.3956,83.48,74,100,6.31,PH,1697339047
172,punta arenas,-53.15,-70.9167,42.91,75,0,24.16,CL,1697339047
173,severo-yeniseyskiy,60.3725,93.0408,33.58,90,100,8.99,RU,1697339047
174,tangzhai,34.4328,116.5911,76.21,32,0,5.91,CN,1697339047
175,imeni morozova,59.9757,31.0376,48.24,30,88,16.89,RU,1697339047
176,pajapan,18.25,-94.7,75.67,91,41,7.36,MX,1697339048
177,port mathurin,-19.6833,63.4167,73.22,68,0,11.7,MU,1697338864
178,sitka,57.0531,-135.33,49.89,87,75,0.0,US,1697339048
179,gadzhiyevo,69.2551,33.3362,35.62,97,100,35.34,RU,1697339048
180,galle,6.0367,80.217,80.26,80,82,5.46,LK,1697339048
181,hadibu,12.65,54.0333,79.75,77,2,2.8,YE,1697339048
182,merizo village,13.2658,144.6691,88.36,85,100,11.25,GU,1697339049
183,enewetak,11.3474,162.3373,83.77,72,75,9.66,MH,1697339049
184,togur,58.3631,82.8265,41.14,80,100,14.0,RU,1697339049
185,homer,59.6425,-151.5483,43.77,72,0,0.0,US,1697339049
186,zheshart,62.0731,49.5733,42.12,95,100,9.28,RU,1697339049
187,sandnessjoen,66.0217,12.6316,39.72,63,91,35.25,NO,1697339049
188,copala,16.65,-98.9833,80.26,87,100,2.04,MX,1697339050
189,kapa'a,22.0752,-159.319,87.78,67,20,17.27,US,1697339050
190,bourbon-lancy,46.6221,3.7695,42.49,60,93,2.59,FR,1697339050
191,klyuchi,52.2667,79.1667,46.2,62,100,15.75,RU,1697339050
192,ribeira grande,38.5167,-28.7,71.78,96,100,14.0,PT,1697339050
193,naze,28.3667,129.4833,77.92,54,32,16.4,JP,1697339051
194,kerikeri,-35.2268,173.9474,71.91,66,72,5.01,NZ,1697339051
195,emerald,-23.5333,148.1667,90.34,21,4,4.05,AU,1697338919
196,viedma,-40.8135,-62.9967,62.89,37,75,14.94,AR,1697339051
197,chos malal,-37.3781,-70.2709,54.81,35,2,4.0,AR,1697339051
198,el bauga,18.262,33.9081,79.18,32,0,11.88,SD,1697339051
199,tazovsky,67.4667,78.7,36.09,99,100,3.02,RU,1697339052
200,iskateley,67.6803,53.1512,28.02,93,89,4.0,RU,1697339052
201,tazacorte,28.629,-17.9293,83.16,23,0,8.99,ES,1697339052
202,bornos,36.8168,-5.7445,65.46,76,26,2.86,ES,1697339052
203,walvis bay,-22.9575,14.5053,57.09,88,0,6.91,NA,1697339052
204,turinskaya sloboda,57.6232,64.3858,35.06,85,13,7.0,RU,1697339052
205,mount isa,-20.7333,139.5,92.97,8,3,10.36,AU,1697338871
206,general pico,-35.6566,-63.7568,59.18,41,0,14.29,AR,1697338876
207,thinadhoo,0.5333,72.9333,81.37,76,10,10.49,MV,1697339052
208,magadan,59.5667,150.8,36.54,66,100,3.0,RU,1697339053
209,la ronge,55.1001,-105.2842,44.85,65,0,8.05,CA,1697338961
210,urucui,-7.2294,-44.5561,81.63,45,67,1.83,BR,1697338924
211,sretensk,52.2453,117.7093,39.74,31,0,8.99,RU,1697339053
212,las palmas,28.4204,-14.0131,75.99,29,0,6.91,ES,1697339053
213,chibougamau,49.9168,-74.3659,42.42,93,100,9.22,CA,1697338935
214,warren,39.4334,-84.1666,52.36,86,100,17.27,US,1697339053
215,nema,57.5067,50.5011,47.34,89,100,13.71,RU,1697339054
216,acarau,-2.8856,-40.12,78.94,82,42,17.18,BR,1697339054
217,nyurba,63.2842,118.3319,20.1,65,16,3.0,RU,1697339054
218,kayangel,8.0823,134.7173,83.01,78,30,9.62,PW,1697339054
219,mount gambier,-37.8333,140.7667,54.91,77,100,9.93,AU,1697338787
220,manicore,-5.8092,-61.3003,80.56,67,92,0.49,BR,1697339054
221,forest,37.3638,-79.2897,60.71,83,40,4.61,US,1697338814
222,uturoa,-16.7333,-151.4333,79.21,70,3,10.89,PF,1697339055
223,nuku'alofa,-21.1333,-175.2,77.34,73,40,12.66,TO,1697338961
224,antalaha,-14.9003,50.2788,75.51,91,82,2.71,MG,1697339055
225,guiuan,11.0333,125.7247,82.51,76,87,1.9,PH,1697339055
226,kudat,6.8837,116.8477,87.73,74,20,3.44,MY,1697338886
227,st. john's,47.5649,-52.7093,54.16,98,100,10.36,CA,1697339045
228,bangassou,4.7413,22.8184,69.31,99,100,2.51,CF,1697339056
229,bratsk,56.1325,101.6142,45.09,74,96,6.51,RU,1697339056
230,berezovyy,51.6667,135.7,61.12,46,4,6.22,RU,1697339056
231,el porvenir,13.7617,-87.3458,76.33,97,27,3.38,HN,1697339056
232,zaraza,9.3503,-65.3245,79.86,81,39,4.56,VE,1697339056
233,peace river,56.2501,-117.286,43.11,87,75,2.3,CA,1697338796
234,castillos,-34.1667,-53.8333,49.33,80,2,6.22,UY,1697339056
235,margate,51.3813,1.3862,46.69,74,3,5.01,GB,1697338888
236,phillip island,-38.4835,145.231,62.01,67,100,16.24,AU,1697339056
237,gizo,-8.103,156.8419,83.28,73,57,2.71,SB,1697339057
238,vila franca do campo,37.7167,-25.4333,72.01,99,100,8.16,PT,1697339057
239,kapuskasing,49.4169,-82.4331,42.89,87,100,13.8,CA,1697338799
240,nova vicosa,-17.8919,-39.3719,75.92,86,87,4.99,BR,1697339057
241,karratha,-20.7377,116.8463,98.47,19,2,17.0,AU,1697339057
242,bakanas,44.8081,76.2772,47.35,38,83,2.57,KZ,1697339057
243,kidal,18.4411,1.4078,81.81,16,1,4.52,ML,1697339057
244,bikenibeu village,1.3673,173.1241,89.56,66,20,9.22,KI,1697339057
245,kulhudhuffushi,6.6221,73.07,80.19,74,100,4.52,MV,1697339057
246,qusmuryn,52.4503,64.6311,42.4,75,100,9.31,KZ,1697339058
247,el calafate,-50.3408,-72.2768,41.31,74,5,9.66,AR,1697339058
248,guerrero negro,27.9769,-114.0611,67.33,86,9,13.0,MX,1697339058
249,celestun,20.8667,-90.4,84.11,82,36,9.78,MX,1697339058
250,tromso,69.6496,18.957,35.62,75,100,10.36,NO,1697339058
251,holualoa,19.6228,-155.9522,79.86,69,20,10.36,US,1697339058
252,ta'izz,13.5,44.0,67.06,52,0,7.47,YE,1697339058
253,grantsville,40.5999,-112.4644,55.63,50,14,1.92,US,1697339058
254,vernon,50.2581,-119.2691,56.3,79,100,1.14,CA,1697338804
255,schipkau,51.5167,13.8833,45.68,86,2,4.0,DE,1697339059
256,remire-montjoly,4.9167,-52.2667,78.84,89,0,3.44,GF,1697339059
257,karkira,36.9292,6.5856,67.75,79,2,7.09,DZ,1697339059
